timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780982894.9617252,-0.819,-0.126,0.588,-0.267,1.863,-0.733,-0.689,-0.304,0.597,-6.496,0.275,-0.168,-0.277,-0.405,0.894,0.084,-0.679,0.336,-0.252,-0.434,0.927,1.443,6.809,-0.924,0.07,-0.344,0.811,-0.511,1.695,0.145,abajo
1780982895.0569956,-0.821,-0.126,0.592,-0.855,1.282,-1.038,-0.69,-0.302,0.602,-6.198,0.687,-0.756,-0.283,-0.408,0.895,-0.153,0.084,0.405,-0.253,-0.436,0.928,1.565,6.878,-1.084,0.064,-0.351,0.809,-1.092,2.076,-0.16,abajo
1780982895.1617954,-0.815,-0.121,0.599,-1.099,1.374,-0.832,-0.692,-0.303,0.597,-6.565,0.427,-0.641,-0.28,-0.412,0.891,-0.282,0.237,-0.267,-0.249,-0.431,0.928,1.626,6.855,-0.649,0.065,-0.351,0.812,-0.687,2.519,-0.427,abajo
1780982895.2644176,-0.821,-0.124,0.593,-0.565,1.55,-0.901,-0.691,-0.298,0.602,-6.443,0.221,-0.733,-0.281,-0.41,0.89,-0.336,0.0,-0.069,-0.249,-0.431,0.93,1.573,7.466,-0.336,0.065,-0.343,0.802,-0.687,2.206,0.252,abajo
1780982895.371983,-0.814,-0.123,0.588,-1.641,2.573,-1.45,-0.69,-0.301,0.595,-8.015,3.061,-1.779,-0.281,-0.41,0.898,-3.565,1.298,0.397,-0.255,-0.436,0.923,-0.771,10.527,-0.939,0.067,-0.349,0.802,-0.656,1.527,0.74,abajo
1780982895.4713135,-0.815,-0.127,0.596,-0.802,3.145,-1.634,-0.689,-0.304,0.611,-10.473,3.695,-3.374,-0.44,-0.692,0.499,-29.122,7.382,5.359,-0.246,-0.447,0.925,-1.84,9.924,-3.405,0.066,-0.359,0.817,-0.038,0.519,0.206,abajo
1780982895.5768154,-0.831,-0.127,0.574,-2.977,4.847,-2.718,-0.694,-0.321,0.597,-10.206,-1.176,-3.084,-0.28,-0.443,0.887,-14.198,-2.511,-0.435,-0.233,-0.462,0.927,-10.573,13.763,-6.076,0.068,-0.357,0.803,-0.802,1.611,-0.611,abajo
1780982895.675204,-0.832,-0.152,0.57,-9.603,8.511,-4.695,-0.657,-0.38,0.622,-32.351,10.214,-11.832,-0.241,-0.553,0.81,-73.84,5.534,1.466,-0.238,-0.474,0.844,-62.832,55.855,-33.809,0.074,-0.351,0.815,1.618,-2.176,-2.137,abajo
1780982895.7784226,-0.88,-0.177,0.442,-66.16,39.748,-11.855,-0.667,-0.415,0.636,-60.42,-13.412,-27.756,-0.254,-0.61,0.723,-110.389,10.901,-3.053,-0.346,-0.607,0.782,-96.87,39.771,-44.641,0.101,-0.36,0.811,2.023,-10.099,-0.153,abajo
1780982895.8933017,-0.836,-0.262,0.47,-104.763,45.298,-21.511,-0.633,-0.511,0.502,-101.824,-15.282,-40.718,-0.28,-0.809,0.49,-167.664,9.748,-4.672,-0.279,-0.756,0.497,-140.695,62.573,-53.046,0.223,-0.371,0.702,-31.0,7.847,-34.0,abajo
1780982895.9895122,-0.897,-0.351,0.264,-83.763,65.038,-35.557,-0.713,-0.575,0.535,-103.122,-11.916,-35.573,-0.266,-0.814,0.377,-127.412,9.397,-16.649,-0.269,-0.884,0.459,-67.473,25.802,-45.405,0.144,-0.364,0.827,-8.107,-11.725,-27.756,abajo
1780982896.0868127,-0.899,-0.372,0.272,-14.756,13.168,-5.221,-0.519,-0.665,0.455,-48.695,2.511,-13.244,-0.135,-0.958,0.202,-76.511,10.725,-8.763,-0.25,-1.061,0.281,-37.473,17.244,-21.924,0.17,-0.375,0.752,-7.725,-4.443,-15.504,abajo
1780982896.1897662,-0.896,-0.398,0.236,-3.718,4.672,-1.473,-0.564,-0.702,0.372,-12.26,-0.71,-2.611,-0.255,-0.933,0.202,-12.023,-1.015,-3.252,-0.135,-0.991,0.194,-11.634,10.634,-6.656,0.125,-0.366,0.816,-2.069,2.855,-4.015,abajo
1780982896.2939596,-0.876,-0.385,0.227,0.985,-2.122,0.504,-0.559,-0.683,0.363,-5.229,3.641,-0.061,-0.255,-0.931,0.161,0.649,-0.611,-0.649,-0.13,-0.99,0.152,8.557,3.718,7.954,0.183,-0.39,0.782,-2.275,3.466,-1.786,abajo
1780982896.397424,-0.868,-0.384,0.234,3.069,-5.489,3.26,-0.559,-0.691,0.355,-2.985,0.137,-0.573,-0.246,-0.951,0.186,10.267,0.244,-2.237,-0.201,-1.005,0.207,29.366,-2.282,18.359,0.177,-0.4,0.789,-0.198,2.145,-2.527,abajo
1780982896.5010695,-0.828,-0.357,0.279,10.031,-17.595,0.924,-0.087,-0.749,0.332,66.466,53.046,33.878,-0.232,-0.882,0.283,25.206,-10.443,-2.183,-0.145,-0.894,0.323,59.168,-9.359,0.275,0.179,-0.411,0.813,5.366,9.702,0.618,abajo
1780982896.6024015,-0.883,-0.316,0.307,35.015,-13.023,34.069,-0.526,-0.519,0.246,78.695,15.45,16.107,-0.349,-0.918,0.126,140.122,11.328,-0.115,-0.228,-0.933,0.384,19.351,10.107,-1.534,0.165,-0.386,0.819,4.076,5.519,0.656,abajo
1780982896.705429,-0.878,-0.291,0.349,26.832,-17.855,18.969,-0.609,-0.518,0.503,60.466,16.481,10.435,-0.297,-0.717,0.643,92.427,-8.298,9.0,-0.177,-0.91,0.452,13.145,4.985,1.198,0.166,-0.375,0.778,-1.939,8.336,4.573,abajo
1780982896.8161356,-0.861,-0.25,0.423,24.718,-22.397,17.718,-0.654,-0.489,0.55,42.511,16.595,14.847,-0.373,-0.641,0.74,81.092,0.099,3.115,-0.334,-0.862,0.472,58.405,-16.282,29.023,0.177,-0.384,0.817,-1.244,8.328,6.061,abajo
1780982896.9113104,-0.871,-0.207,0.471,29.977,-31.191,13.733,-0.617,-0.463,0.658,29.939,-13.145,19.29,-0.204,-0.549,0.865,61.481,-11.267,14.237,-0.217,-0.658,0.778,113.985,-25.924,31.092,0.154,-0.397,0.815,5.229,2.107,14.275,abajo
1780982899.589273,-0.862,-0.161,0.509,-0.931,1.359,-1.405,-0.64,-0.327,0.648,-6.42,0.626,-0.733,-0.261,-0.428,0.882,-0.29,0.023,0.176,-0.215,-0.482,0.913,1.466,6.939,-0.947,0.129,-0.383,0.789,-0.42,2.977,-0.252,abajo
1780982899.6962256,-0.855,-0.161,0.515,-1.038,2.336,-0.924,-0.643,-0.323,0.644,-6.718,0.489,-0.794,-0.267,-0.431,0.885,-0.809,0.237,0.198,-0.218,-0.481,0.912,1.359,6.985,-0.412,0.117,-0.379,0.799,-0.527,2.206,0.198,abajo
