timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780982379.6211767,-0.868,-0.185,0.483,-0.641,0.992,-1.183,-0.714,-0.358,0.54,-5.977,-0.198,-0.58,-0.287,-0.425,0.876,-0.237,-1.069,-0.55,-0.21,-0.456,0.923,1.489,6.687,-0.557,0.288,-0.483,0.713,-0.137,2.74,-0.107,arriba
1780982379.7243552,-0.865,-0.184,0.484,-0.557,1.031,-0.328,-0.716,-0.357,0.538,-6.153,1.099,0.0,-0.296,-0.426,0.884,-0.542,0.137,-0.359,-0.21,-0.444,0.93,1.504,6.191,-0.794,0.285,-0.488,0.717,-0.153,3.672,0.214,arriba
1780982379.8283503,-0.863,-0.18,0.493,-1.099,1.221,-0.969,-0.709,-0.355,0.534,-7.527,0.931,-1.038,-0.298,-0.43,0.872,-0.244,0.786,0.015,-0.221,-0.454,0.922,1.649,6.802,-0.695,0.282,-0.484,0.712,-1.16,1.511,-0.206,arriba
1780982379.932558,-0.868,-0.18,0.479,-0.695,1.412,-0.939,-0.71,-0.361,0.533,-6.176,0.511,-1.061,-0.293,-0.429,0.883,-0.183,-0.412,0.359,-0.216,-0.452,0.926,1.527,7.221,-0.191,0.278,-0.483,0.716,-0.725,2.168,0.031,arriba
1780982380.0436594,-0.868,-0.18,0.478,-0.817,1.687,-0.473,-0.71,-0.359,0.529,-5.397,0.13,-0.229,-0.291,-0.427,0.876,0.382,-0.687,-0.076,-0.217,-0.45,0.918,2.061,6.13,-0.885,0.285,-0.486,0.72,0.153,2.489,-0.427,arriba
1780982380.1368732,-0.874,-0.176,0.481,1.153,-1.588,4.496,-0.685,-0.408,0.705,6.145,13.137,12.061,-0.29,-0.443,0.899,7.282,13.603,7.069,-0.26,-0.46,0.96,3.13,26.588,2.443,0.347,-0.468,0.667,-1.489,3.977,3.664,arriba
1780982380.2476315,-0.759,-0.038,0.333,82.618,-48.954,81.87,-0.577,-0.11,0.364,77.084,-24.252,76.008,-0.257,-0.217,0.88,112.672,-30.618,28.359,-0.174,-0.304,1.173,118.603,-13.71,18.878,0.321,-0.481,0.72,-3.359,-16.198,-8.557,arriba
1780982380.3515003,-0.748,0.116,0.487,31.435,-26.244,35.786,-0.74,0.019,0.505,31.145,-8.412,32.221,-0.269,-0.003,0.871,51.511,2.779,9.336,-0.184,-0.011,0.889,57.252,7.634,3.779,0.335,-0.458,0.695,11.489,-12.122,-8.947,arriba
1780982380.4459593,-0.717,0.144,0.566,-4.321,4.298,2.053,-0.658,0.056,0.605,-7.885,2.0,0.221,-0.223,0.055,0.913,-1.641,0.603,-1.473,-0.177,0.017,0.987,-3.748,7.252,-4.679,0.364,-0.442,0.693,-1.702,6.382,2.031,arriba
1780982380.5484016,-0.791,0.121,0.551,-14.702,10.275,-11.855,-0.709,0.024,0.558,-25.603,8.115,-13.466,-0.28,0.01,0.906,-23.855,0.527,-3.962,-0.197,-0.015,0.979,-22.489,9.832,-5.58,0.354,-0.456,0.703,-7.718,8.053,3.58,arriba
1780982380.6659846,-0.705,0.084,0.451,-54.664,25.557,-41.649,-0.657,-0.051,0.602,-66.382,28.74,-40.687,-0.241,-0.086,0.918,-75.756,4.496,-14.145,-0.232,-0.152,1.099,-84.916,14.71,-19.947,0.343,-0.477,0.697,-3.87,20.237,7.0,arriba
