timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780979678.407888,-0.797,-0.207,0.587,-0.885,1.435,-1.099,-0.715,-0.345,0.537,-6.603,0.893,-0.122,-0.278,-0.487,0.847,-0.443,0.252,0.313,-0.295,-0.402,0.925,1.626,6.954,-0.489,0.175,-0.341,0.8,-1.527,3.0,-0.206,btn_A
1780979678.5113099,-0.794,-0.204,0.596,-0.695,0.817,-0.473,-0.719,-0.339,0.543,-6.481,0.275,0.015,-0.274,-0.481,0.851,-0.779,0.282,0.733,-0.296,-0.406,0.921,0.954,8.153,-0.351,0.164,-0.331,0.792,-1.176,4.511,0.29,btn_A
1780979678.6290202,-0.8,-0.211,0.6,-0.832,0.519,-0.863,-0.718,-0.336,0.543,-6.687,0.679,0.267,-0.281,-0.482,0.849,-0.328,0.145,0.191,-0.293,-0.399,0.927,1.458,7.336,-0.137,0.164,-0.337,0.807,0.672,1.305,0.145,btn_A
1780979678.729826,-0.795,-0.212,0.6,-0.695,1.908,-0.756,-0.72,-0.338,0.54,-6.618,0.473,-0.26,-0.276,-0.483,0.85,-0.351,-0.344,-0.42,-0.29,-0.403,0.935,1.458,6.382,-0.725,0.17,-0.349,0.807,-0.405,1.748,-0.061,btn_A
1780979678.8314493,-0.798,-0.211,0.599,-1.099,2.107,-0.832,-0.719,-0.344,0.545,-6.366,0.702,-0.29,-0.278,-0.487,0.855,-0.176,-0.237,0.069,-0.29,-0.403,0.925,1.305,6.45,-0.817,0.173,-0.336,0.798,-0.908,1.878,0.137,btn_A
1780979678.9290752,-0.799,-0.215,0.594,-1.0,1.229,-0.802,-0.715,-0.343,0.536,-6.107,0.695,0.099,-0.28,-0.488,0.847,0.489,0.725,-0.176,-0.293,-0.406,0.919,1.168,7.145,-0.122,0.173,-0.34,0.806,-1.344,2.031,-0.183,btn_A
1780979679.025925,-0.782,-0.214,0.604,-1.847,4.344,0.931,-0.725,-0.341,0.537,-5.847,6.489,0.611,-0.275,-0.486,0.864,0.519,1.55,-0.038,-0.242,-0.409,0.989,18.603,-5.794,10.191,0.177,-0.343,0.812,-2.542,0.87,0.267,btn_A
1780979679.1292036,-0.798,-0.208,0.597,-0.153,2.0,0.206,-0.728,-0.345,0.547,-7.084,2.992,0.45,-0.275,-0.483,0.854,-0.313,5.695,3.084,-0.282,-0.352,1.111,117.275,5.053,28.336,0.167,-0.335,0.808,1.687,5.656,1.275,btn_A
1780979679.230811,-0.823,-0.203,0.576,0.763,4.908,-0.55,-0.731,-0.337,0.499,-6.542,10.168,-0.084,-0.302,-0.474,0.846,5.244,19.87,4.412,-0.27,-0.106,0.891,77.16,-12.443,14.412,0.148,-0.329,0.807,4.489,7.168,0.947,btn_A
1780979679.3470051,-0.805,-0.205,0.585,3.069,6.733,0.275,-0.74,-0.342,0.506,-4.687,11.977,0.847,-0.331,-0.459,0.837,3.13,11.122,2.344,-0.255,-0.019,1.077,48.771,7.847,7.71,0.144,-0.331,0.806,0.641,2.908,0.443,btn_A
1780979679.44725,-0.801,-0.2,0.586,0.725,4.771,1.0,-0.741,-0.332,0.509,-5.237,7.443,0.198,-0.346,-0.448,0.848,1.588,14.198,3.504,-0.221,0.111,0.932,46.504,14.275,13.466,0.151,-0.328,0.792,2.733,6.397,1.366,btn_A
1780979679.5407908,-0.798,-0.196,0.595,-0.168,3.198,-1.145,-0.752,-0.327,0.477,-7.275,3.87,-0.573,-0.366,-0.442,0.843,-3.893,12.145,3.901,-0.29,0.13,1.038,29.42,17.305,3.893,0.137,-0.32,0.805,1.183,8.191,2.504,btn_A
1780979679.6430056,-0.809,-0.197,0.578,0.031,2.412,0.55,-0.756,-0.332,0.486,-6.611,1.954,0.443,-0.377,-0.456,0.831,-0.092,4.58,2.603,-0.266,0.157,1.059,19.389,12.824,-0.031,0.148,-0.328,0.803,2.084,3.321,1.458,btn_A
1780979679.7633972,-0.813,-0.191,0.584,-0.611,-0.229,-1.191,-0.756,-0.328,0.474,-7.015,2.901,0.107,-0.386,-0.443,0.825,0.183,2.84,1.351,-0.283,0.193,1.02,5.977,8.817,-1.275,0.139,-0.315,0.81,-1.458,2.763,0.275,btn_A
1780979679.8623867,-0.809,-0.196,0.579,-0.618,3.122,-0.878,-0.753,-0.332,0.487,-6.733,1.092,-0.176,-0.393,-0.444,0.812,-0.221,1.802,1.0,-0.327,0.223,0.926,-1.588,5.863,-2.206,0.134,-0.314,0.808,-0.229,0.878,-0.481,btn_A
1780979679.9605954,-0.819,-0.193,0.574,-1.252,-1.641,-2.244,-0.75,-0.338,0.492,-6.641,-13.244,-2.145,-0.382,-0.448,0.811,-6.374,-14.519,-6.275,-0.302,0.205,0.886,-45.328,-7.031,-8.504,0.132,-0.331,0.798,-2.794,-3.954,-3.748,btn_A
1780979680.055018,-0.815,-0.197,0.584,-6.962,-13.443,-3.359,-0.724,-0.339,0.537,-8.046,-27.802,-0.267,-0.328,-0.481,0.816,-11.611,-49.893,-12.229,-0.199,-0.225,0.671,-250.137,50.901,-61.382,0.159,-0.333,0.819,-11.565,-3.305,-1.695,btn_A
1780979680.159747,-0.783,-0.217,0.608,-2.573,-0.588,-1.153,-0.684,-0.331,0.561,-4.412,15.053,2.664,-0.271,-0.493,0.849,12.29,12.168,3.344,-0.275,-0.369,1.058,9.015,17.603,-0.183,0.169,-0.321,0.764,5.031,-2.679,0.641,btn_A
1780979680.2756379,-0.795,-0.203,0.595,-2.328,1.275,-1.779,-0.712,-0.344,0.538,-7.565,0.069,-0.504,-0.273,-0.481,0.862,-0.611,-1.099,0.26,-0.294,-0.377,0.939,0.275,6.298,-0.496,0.171,-0.343,0.792,-0.145,2.954,0.191,btn_A
1780979680.3665464,-0.795,-0.21,0.594,0.061,0.763,0.489,-0.719,-0.341,0.538,-6.053,0.71,0.611,-0.274,-0.483,0.857,-0.13,0.305,-0.137,-0.286,-0.382,0.933,0.427,6.656,-0.908,0.18,-0.345,0.8,-0.695,1.679,-0.221,btn_A
1780979680.4784598,-0.789,-0.203,0.602,-1.397,1.023,-1.962,-0.714,-0.342,0.539,-6.588,0.405,-0.191,-0.271,-0.481,0.854,-0.756,0.45,-0.023,-0.287,-0.384,0.936,0.015,7.901,-0.832,0.169,-0.347,0.807,-0.672,2.405,0.168,btn_A
1780979680.5799546,-0.79,-0.2,0.604,-0.748,1.229,-0.718,-0.711,-0.333,0.538,-6.809,0.931,0.145,-0.27,-0.479,0.857,-1.359,0.427,0.794,-0.284,-0.386,0.934,-0.237,9.611,-1.183,0.169,-0.335,0.808,-1.542,4.656,0.137,btn_A
1780979680.6738403,-0.799,-0.21,0.598,-0.954,1.763,-0.298,-0.715,-0.337,0.547,-6.489,1.328,0.389,-0.273,-0.481,0.852,-0.053,0.191,-0.382,-0.285,-0.384,0.931,0.122,6.992,-1.42,0.173,-0.34,0.802,1.58,0.634,0.366,btn_A
1780979680.7780097,-0.794,-0.206,0.6,-0.977,1.153,-1.214,-0.717,-0.342,0.542,-6.206,0.397,-0.008,-0.274,-0.48,0.854,-0.122,-1.046,-0.29,-0.285,-0.386,0.94,0.87,6.046,-1.0,0.171,-0.337,0.8,0.511,1.672,-0.092,btn_A
