timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780983935.400213,-0.861,-0.204,0.485,-0.779,1.153,-0.588,-0.684,-0.37,0.563,-6.969,0.023,-0.412,-0.315,-0.431,0.864,-0.473,-0.008,-0.008,-0.362,-0.531,0.817,1.405,6.901,-0.603,0.227,-0.459,0.736,-1.405,0.641,0.275,izquierda
1780983935.4937608,-0.862,-0.2,0.49,-0.817,1.786,-0.71,-0.686,-0.371,0.566,-7.176,0.557,-0.397,-0.307,-0.433,0.864,-0.542,0.206,0.817,-0.361,-0.532,0.821,1.412,7.542,-1.076,0.227,-0.464,0.727,-0.947,2.275,0.588,izquierda
1780983935.597386,-0.849,-0.209,0.486,-1.237,2.137,-1.412,-0.691,-0.367,0.573,-7.947,-0.557,-2.122,-0.309,-0.438,0.866,-1.595,-1.29,-0.847,-0.366,-0.532,0.815,-0.481,7.588,-3.397,0.231,-0.47,0.738,-0.489,-0.305,0.649,izquierda
1780983935.7072861,-0.858,-0.205,0.487,-1.015,1.802,0.779,-0.682,-0.37,0.567,-6.931,-0.008,0.718,-0.31,-0.438,0.874,0.26,0.351,0.405,-0.362,-0.537,0.821,2.733,4.962,-0.053,0.224,-0.472,0.736,0.344,3.664,-0.565,izquierda
1780983935.8031511,-0.857,-0.209,0.483,-0.725,0.977,-1.015,-0.684,-0.371,0.566,-6.702,-0.015,-0.748,-0.303,-0.433,0.866,-0.481,-0.435,-0.908,-0.357,-0.536,0.819,1.641,7.0,-0.038,0.231,-0.466,0.729,-0.588,2.687,-0.275,izquierda
1780983935.9056754,-0.864,-0.204,0.488,-1.786,2.191,-0.786,-0.681,-0.375,0.563,-7.55,0.344,-0.481,-0.304,-0.436,0.872,-0.397,0.443,0.58,-0.366,-0.531,0.822,1.595,7.542,0.16,0.228,-0.465,0.741,-0.756,2.664,0.786,izquierda
1780983936.0171711,-0.86,-0.207,0.479,-0.489,1.878,0.351,-0.683,-0.377,0.565,-7.214,0.237,-0.489,-0.307,-0.435,0.869,-0.748,0.305,-0.221,-0.367,-0.542,0.814,1.382,7.122,-0.947,0.222,-0.468,0.737,-0.336,0.275,0.16,izquierda
1780983936.1150076,-0.859,-0.208,0.486,-0.702,1.779,0.679,-0.686,-0.371,0.567,-6.969,0.267,0.481,-0.309,-0.434,0.867,0.435,-0.87,0.901,-0.358,-0.537,0.805,3.382,4.878,1.458,0.222,-0.473,0.759,4.076,5.763,4.305,izquierda
1780983936.2149518,-0.867,-0.206,0.477,-0.382,-0.481,-1.076,-0.689,-0.368,0.562,-4.55,-1.794,-0.947,-0.302,-0.433,0.875,1.389,-5.679,-2.412,-0.364,-0.539,0.809,5.695,0.687,-1.214,0.33,-0.481,0.836,50.206,-43.618,-48.015,izquierda
1780983936.318474,-0.888,-0.204,0.437,-15.924,9.595,3.206,-0.677,-0.382,0.57,-17.45,1.786,2.176,-0.243,-0.403,0.873,-16.855,1.504,24.695,-0.383,-0.503,0.78,-14.588,5.916,0.176,0.322,-0.302,0.749,15.527,-30.649,-9.412,izquierda
