timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780990811.812223,-0.862,-0.202,0.478,-0.779,2.084,-0.55,-0.711,-0.373,0.525,-7.0,0.267,-0.382,-0.321,-0.471,0.843,-0.397,-0.137,0.145,-0.239,-0.593,0.829,1.87,6.695,-0.649,0.101,-0.424,0.772,-0.344,2.473,-0.015,reposo
1780990811.9049013,-0.862,-0.206,0.474,-1.069,1.725,-1.489,-0.713,-0.375,0.515,-6.756,-0.031,-0.71,-0.323,-0.471,0.843,-0.115,-0.58,-0.298,-0.241,-0.594,0.818,2.252,6.924,-0.351,0.096,-0.426,0.781,-0.26,1.802,-0.244,reposo
1780990812.0077074,-0.861,-0.204,0.48,-0.679,1.656,-0.267,-0.712,-0.376,0.513,-7.534,0.534,-0.252,-0.321,-0.469,0.844,-0.664,0.603,0.435,-0.244,-0.594,0.825,1.71,7.626,-0.008,0.097,-0.429,0.774,-0.779,2.275,-0.206,reposo
1780990812.1116388,-0.862,-0.201,0.481,-0.702,1.344,-0.252,-0.707,-0.375,0.523,-7.214,0.206,-0.282,-0.318,-0.471,0.845,-0.405,-0.069,-0.244,-0.241,-0.596,0.835,2.008,6.786,-0.687,0.094,-0.428,0.776,-0.603,2.466,-0.092,reposo
1780990812.2274253,-0.862,-0.199,0.475,-0.733,2.053,-0.634,-0.71,-0.37,0.518,-7.313,0.26,-0.076,-0.32,-0.472,0.842,-0.145,0.504,-0.183,-0.244,-0.588,0.824,1.802,6.573,-0.511,0.096,-0.425,0.774,-0.565,2.153,0.046,reposo
1780990812.3265505,-0.866,-0.198,0.479,-0.397,1.275,-0.344,-0.708,-0.375,0.524,-6.84,0.13,0.015,-0.323,-0.468,0.839,-0.321,-0.489,0.45,-0.237,-0.59,0.829,1.924,6.557,-0.824,0.1,-0.432,0.776,-0.481,2.0,-0.145,reposo
1780990812.419789,-0.861,-0.202,0.478,-0.802,2.168,-0.977,-0.714,-0.375,0.519,-7.305,0.29,-0.344,-0.32,-0.467,0.842,-0.405,0.802,-0.42,-0.242,-0.584,0.824,1.931,6.313,-1.069,0.1,-0.431,0.773,-0.74,1.603,-0.275,reposo
1780990812.5224605,-0.863,-0.201,0.476,-1.168,1.992,-0.664,-0.712,-0.375,0.522,-7.183,0.107,-0.817,-0.319,-0.472,0.84,0.145,-0.74,-0.237,-0.239,-0.591,0.83,1.847,4.992,-1.168,0.098,-0.428,0.762,-1.519,1.763,-0.992,reposo
1780990812.625799,-0.863,-0.197,0.472,-0.427,1.221,-1.099,-0.708,-0.374,0.526,-6.725,0.191,-0.389,-0.319,-0.472,0.842,-0.435,-0.656,0.13,-0.245,-0.593,0.824,1.931,6.511,-1.45,0.108,-0.437,0.763,-2.191,-0.672,-2.282,reposo
1780990812.7285883,-0.855,-0.205,0.482,-1.397,0.198,-1.557,-0.712,-0.376,0.518,-5.908,0.26,-1.267,-0.316,-0.468,0.841,0.641,-1.832,-2.695,-0.244,-0.593,0.842,2.748,3.855,-3.061,0.116,-0.448,0.802,-0.893,-0.45,6.221,reposo
1780990812.8430731,-0.847,-0.207,0.471,-2.466,0.359,-0.855,-0.704,-0.379,0.523,-2.84,-2.023,-3.031,-0.504,-0.389,0.6,-0.618,3.443,31.298,-0.406,-0.603,0.746,1.74,10.076,2.122,-0.133,-0.382,0.786,6.023,2.229,17.389,reposo
1780990815.2087624,-0.869,-0.194,0.468,-0.962,1.29,-0.916,-0.708,-0.376,0.518,-7.069,0.214,-0.206,-0.319,-0.464,0.847,-0.084,0.504,-0.344,-0.256,-0.583,0.831,2.107,6.496,-0.13,0.099,-0.424,0.778,-0.603,2.466,-0.458,reposo
1780990815.303809,-0.865,-0.201,0.465,-0.397,1.496,-0.244,-0.712,-0.374,0.526,-6.725,-0.046,-0.427,-0.32,-0.462,0.847,-0.13,-0.244,-0.115,-0.255,-0.583,0.83,2.046,7.115,-0.191,0.098,-0.419,0.774,-0.427,2.832,-0.13,reposo
1780990815.4100404,-0.865,-0.198,0.469,-0.786,1.244,-0.748,-0.709,-0.375,0.524,-6.962,0.298,-0.183,-0.322,-0.464,0.838,-0.038,0.84,-0.573,-0.254,-0.581,0.826,1.939,7.359,-0.389,0.096,-0.414,0.781,-0.489,2.282,0.0,reposo
1780990815.5097404,-0.867,-0.196,0.461,-0.679,2.107,-0.435,-0.712,-0.374,0.521,-7.298,0.26,-0.084,-0.323,-0.465,0.844,0.153,0.191,0.321,-0.257,-0.584,0.83,2.176,6.885,-0.481,0.094,-0.414,0.773,-0.443,2.366,-0.115,reposo
1780990815.6243489,-0.867,-0.2,0.472,-0.664,1.389,-0.084,-0.709,-0.37,0.523,-7.374,0.481,-0.107,-0.323,-0.465,0.845,-0.298,0.405,-0.099,-0.258,-0.581,0.827,1.58,7.069,-0.168,0.101,-0.418,0.772,-0.901,1.718,0.176,reposo
1780990815.7272396,-0.869,-0.197,0.467,-0.588,1.969,-0.916,-0.713,-0.372,0.521,-7.473,0.366,-0.237,-0.32,-0.464,0.853,-0.16,0.092,-0.122,-0.256,-0.584,0.828,2.168,7.176,-0.687,0.098,-0.422,0.774,-0.763,2.275,-0.229,reposo
1780990815.826391,-0.871,-0.201,0.463,-0.962,1.603,-0.076,-0.708,-0.373,0.522,-7.298,0.168,-0.481,-0.322,-0.459,0.842,-0.427,0.573,0.603,-0.264,-0.587,0.828,1.992,7.359,-0.397,0.099,-0.417,0.781,-0.542,2.542,-0.405,reposo
1780990815.9219966,-0.87,-0.199,0.467,-0.931,1.71,-0.939,-0.714,-0.37,0.521,-7.313,0.221,-0.244,-0.323,-0.462,0.846,0.069,-0.107,0.107,-0.258,-0.583,0.826,2.374,7.298,-0.26,0.097,-0.424,0.785,-0.519,2.496,-0.145,reposo
1780990816.0252154,-0.871,-0.195,0.461,-0.817,1.252,-0.313,-0.713,-0.371,0.523,-7.115,0.16,-0.481,-0.321,-0.46,0.843,-0.069,0.351,-0.053,-0.259,-0.585,0.831,1.878,7.168,-0.435,0.101,-0.422,0.768,-0.679,2.733,-0.076,reposo
1780990816.1285954,-0.868,-0.198,0.455,-0.985,1.679,-0.748,-0.711,-0.375,0.522,-7.16,0.16,-0.496,-0.324,-0.459,0.841,-0.206,0.496,0.687,-0.261,-0.582,0.835,1.992,7.389,-0.496,0.099,-0.42,0.776,-0.672,2.275,-0.252,reposo
