timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780984736.8762302,-0.818,-0.186,0.567,-1.702,2.443,-1.695,-0.665,-0.33,0.615,-7.405,0.405,-0.374,-0.304,-0.398,0.886,-1.13,1.099,0.191,-0.26,-0.473,0.896,1.611,7.435,-0.412,0.17,-0.356,0.786,-0.908,3.687,0.359,start
1780984736.9890037,-0.82,-0.183,0.565,-1.13,2.481,0.321,-0.664,-0.326,0.62,-7.321,0.168,0.115,-0.315,-0.396,0.887,-0.221,-0.084,0.885,-0.255,-0.472,0.9,1.916,6.87,-0.634,0.167,-0.357,0.793,-0.779,0.618,0.023,start
1780984737.082618,-0.818,-0.181,0.565,-1.16,0.908,-1.069,-0.666,-0.329,0.619,-7.198,0.015,-0.885,-0.311,-0.394,0.885,-0.313,0.504,-0.496,-0.264,-0.474,0.894,1.565,6.634,-1.328,0.173,-0.362,0.788,-1.0,1.985,0.015,start
1780984737.1852763,-0.827,-0.194,0.565,-1.145,0.931,-1.405,-0.656,-0.323,0.616,-6.931,-0.153,-0.763,-0.306,-0.395,0.886,-0.496,-0.214,0.305,-0.256,-0.473,0.902,1.84,7.046,0.588,0.163,-0.357,0.791,-0.084,4.55,0.29,start
1780984737.2917528,-0.83,-0.191,0.556,-0.664,2.031,-0.137,-0.666,-0.327,0.613,-6.55,-0.321,-0.481,-0.305,-0.396,0.89,-0.053,-0.954,-0.618,-0.258,-0.47,0.909,2.198,6.092,-0.565,0.173,-0.359,0.797,-0.137,0.786,0.313,start
1780984737.3915646,-0.824,-0.186,0.566,-0.969,2.344,-0.756,-0.667,-0.33,0.613,-7.107,0.145,-0.374,-0.306,-0.396,0.885,-0.649,-0.16,-0.412,-0.259,-0.472,0.911,2.336,5.359,-0.305,0.181,-0.358,0.787,-0.443,2.229,-0.069,start
1780984737.494653,-0.819,-0.184,0.563,-0.779,3.015,-0.374,-0.662,-0.322,0.614,-7.145,0.496,0.008,-0.312,-0.401,0.886,-0.374,-0.71,0.412,-0.261,-0.474,0.899,1.641,6.122,-0.061,0.175,-0.362,0.785,-0.656,1.527,0.015,start
1780984737.5976129,-0.82,-0.183,0.568,-0.55,1.557,-0.183,-0.666,-0.328,0.615,-7.145,0.374,-0.496,-0.311,-0.398,0.884,-0.557,-0.206,-0.267,-0.261,-0.471,0.899,1.847,6.412,-0.786,0.174,-0.361,0.794,-0.756,1.885,-0.191,start
1780984737.7010076,-0.82,-0.187,0.57,-0.672,1.916,-0.863,-0.664,-0.328,0.618,-7.489,0.252,-0.321,-0.307,-0.404,0.884,-1.084,0.344,0.198,-0.261,-0.47,0.904,1.809,6.679,-1.046,0.169,-0.357,0.796,-0.817,2.229,-0.107,start
1780984737.8043149,-0.821,-0.192,0.57,-1.122,1.061,-0.229,-0.659,-0.327,0.619,-7.107,0.237,-0.489,-0.305,-0.396,0.882,-0.206,-0.145,0.496,-0.257,-0.472,0.9,1.969,6.664,-0.748,0.167,-0.363,0.794,-0.45,2.336,0.069,start
1780984737.9202435,-0.816,-0.184,0.561,-0.985,1.626,-1.206,-0.666,-0.324,0.615,-6.817,0.153,-0.458,-0.304,-0.396,0.887,-0.611,0.397,-0.16,-0.258,-0.469,0.899,1.832,6.969,-0.527,0.17,-0.357,0.786,-0.038,3.053,0.038,start
1780984738.0098264,-0.823,-0.185,0.566,-1.168,2.053,-1.069,-0.658,-0.33,0.618,-7.023,0.229,-0.29,-0.309,-0.399,0.885,-0.557,0.244,-0.076,-0.26,-0.471,0.901,1.718,6.176,-0.282,0.179,-0.364,0.795,-0.565,2.221,0.0,start
1780984738.1159031,-0.821,-0.184,0.572,-1.45,1.725,-0.901,-0.665,-0.324,0.616,-7.405,0.229,-0.542,-0.305,-0.396,0.882,-0.649,0.366,-0.023,-0.263,-0.47,0.897,2.198,6.962,-0.183,0.176,-0.359,0.775,-0.748,2.29,-0.344,start
1780984738.2212908,-0.82,-0.181,0.565,-1.328,1.511,-1.069,-0.668,-0.329,0.613,-7.244,0.183,-0.427,-0.31,-0.394,0.881,-0.733,0.328,-0.336,-0.261,-0.473,0.897,1.969,6.679,-0.031,0.177,-0.366,0.787,-0.557,2.473,0.115,start
1780984738.31976,-0.821,-0.186,0.571,-0.794,1.603,-1.122,-0.665,-0.327,0.621,-7.382,0.344,-0.29,-0.31,-0.396,0.888,-0.351,-0.053,0.214,-0.259,-0.47,0.902,1.802,7.313,0.221,0.174,-0.358,0.785,-0.824,1.985,0.076,start
1780984738.4253795,-0.821,-0.184,0.568,-0.824,1.809,-0.534,-0.662,-0.326,0.619,-7.29,0.382,-0.099,-0.31,-0.394,0.896,-0.71,0.229,0.336,-0.261,-0.477,0.903,1.824,7.29,0.115,0.171,-0.363,0.789,-0.702,1.634,0.206,start
1780984738.5364451,-0.834,-0.183,0.55,-4.397,5.702,-1.13,-0.655,-0.331,0.624,-9.641,0.137,0.534,-0.298,-0.407,0.877,1.42,-1.038,2.725,-0.207,-0.474,0.878,3.931,4.939,1.878,-0.08,-0.737,1.549,184.229,-54.321,99.176,start
1780984738.627442,-0.836,-0.177,0.552,-4.969,18.053,5.794,-0.677,-0.333,0.602,-10.473,2.542,2.298,-0.333,-0.393,0.876,-0.802,8.252,4.672,-0.286,-0.462,0.927,10.557,7.611,9.473,0.245,0.013,0.707,119.336,-5.733,8.374,start
1780984738.7303455,-0.849,-0.177,0.522,-3.26,9.336,3.496,-0.67,-0.327,0.602,-9.84,2.198,1.573,-0.343,-0.392,0.877,-1.954,8.733,4.359,-0.29,-0.442,0.906,4.595,13.458,6.733,0.232,0.127,0.792,44.42,8.374,1.588,start
1780984741.4098198,-0.817,-0.177,0.572,-0.496,1.527,-1.061,-0.659,-0.324,0.632,-7.015,0.214,0.282,-0.304,-0.385,0.89,-0.908,-0.046,0.595,-0.247,-0.442,0.924,2.099,6.855,0.198,0.14,-0.32,0.806,-0.26,2.954,-0.038,start
1780984741.5169034,-0.819,-0.174,0.568,0.168,1.542,0.008,-0.65,-0.328,0.633,-6.786,0.267,0.046,-0.306,-0.386,0.895,-0.496,0.55,0.687,-0.251,-0.447,0.915,2.145,7.29,-0.275,0.135,-0.32,0.808,-0.427,2.0,-0.145,start
1780984741.6244884,-0.818,-0.176,0.566,-0.641,1.0,-0.916,-0.652,-0.33,0.63,-7.603,0.389,-0.908,-0.31,-0.385,0.887,-0.679,-0.244,-0.122,-0.248,-0.445,0.919,1.74,6.809,-0.687,0.14,-0.316,0.815,-0.588,2.397,-0.031,start
1780984741.7176163,-0.821,-0.177,0.572,-1.107,2.221,-1.519,-0.65,-0.323,0.629,-7.176,0.511,-0.13,-0.307,-0.384,0.891,-0.748,0.626,0.534,-0.248,-0.448,0.913,1.412,7.847,0.359,0.134,-0.318,0.815,-0.489,2.947,-0.092,start
1780984741.82351,-0.819,-0.174,0.572,-0.397,0.626,0.321,-0.652,-0.322,0.632,-7.053,0.244,-0.221,-0.302,-0.383,0.894,-0.496,-0.282,0.321,-0.248,-0.446,0.925,1.954,7.038,0.122,0.133,-0.325,0.814,0.015,2.092,0.115,start
1780984741.9378529,-0.802,-0.179,0.582,-5.298,10.038,0.763,-0.653,-0.328,0.638,-12.267,4.779,1.626,-0.317,-0.389,0.877,-2.389,8.313,3.878,-0.268,-0.449,0.909,1.382,12.878,4.802,0.222,-0.226,0.773,127.405,-28.748,14.053,start
1780984742.0360646,-0.83,-0.176,0.549,-6.626,13.672,1.863,-0.646,-0.33,0.633,-12.29,7.382,1.664,-0.332,-0.386,0.878,-2.557,7.611,3.832,-0.262,-0.434,0.923,4.87,13.817,7.443,0.179,0.04,0.771,76.42,-11.168,-5.565,start
1780984742.1300385,-0.84,-0.175,0.53,-3.321,8.389,2.763,-0.668,-0.334,0.606,-9.26,2.252,1.573,-0.355,-0.377,0.861,1.336,1.802,1.473,-0.296,-0.44,0.898,8.237,10.389,1.16,0.192,0.143,0.757,27.321,5.672,7.137,start
1780984742.23326,-0.844,-0.176,0.535,-1.084,2.603,-1.336,-0.66,-0.332,0.613,-6.321,-0.718,-0.687,-0.332,-0.381,0.887,0.992,-1.344,0.046,-0.278,-0.427,0.921,3.275,4.198,0.206,0.232,0.143,0.804,4.87,4.0,0.87,start
1780984742.3438601,-0.843,-0.176,0.521,-0.183,-2.122,-0.908,-0.663,-0.329,0.61,-4.855,-2.107,-1.244,-0.325,-0.382,0.893,0.542,-3.008,-1.557,-0.27,-0.434,0.934,2.137,1.466,-1.244,0.228,0.142,0.802,-7.405,1.893,-1.153,start
1780984742.4557679,-0.843,-0.182,0.527,2.084,-8.252,-1.359,-0.685,-0.318,0.572,-2.534,-13.321,-1.534,-0.337,-0.383,0.883,6.053,-10.573,-4.832,-0.259,-0.432,0.931,7.702,-5.672,-7.511,0.207,0.074,0.88,-49.718,6.221,0.748,start
1780984742.5433123,-0.842,-0.177,0.555,6.092,-19.42,-3.519,-0.651,-0.324,0.646,0.069,-14.924,-2.481,-0.294,-0.377,0.907,1.634,-15.672,-6.71,-0.241,-0.422,0.937,5.344,-11.519,-5.13,0.195,-0.273,0.913,-153.786,23.435,-26.565,start
1780984742.6530638,-0.819,-0.174,0.575,-0.13,1.74,-0.847,-0.646,-0.322,0.635,-6.557,-0.214,-0.748,-0.304,-0.375,0.889,-0.611,-1.427,-0.55,-0.256,-0.427,0.93,-2.702,5.29,-2.84,0.109,-0.377,1.049,-91.809,16.061,-24.351,start
1780984742.7612116,-0.813,-0.173,0.578,-0.427,-0.977,-1.947,-0.643,-0.322,0.641,-6.847,-0.084,-0.748,-0.294,-0.381,0.898,-0.916,0.954,-0.656,-0.237,-0.436,0.925,0.481,8.42,-0.084,0.139,-0.313,0.821,-4.336,2.008,-0.458,start
1780984742.8558884,-0.816,-0.173,0.572,-0.779,1.763,-0.229,-0.646,-0.322,0.632,-6.84,0.366,-0.466,-0.297,-0.376,0.901,-0.763,0.427,-0.16,-0.241,-0.435,0.929,1.328,6.481,-0.229,0.135,-0.31,0.812,-1.145,1.244,-0.473,start
1780984742.9602716,-0.818,-0.174,0.57,-1.198,0.718,-1.221,-0.648,-0.319,0.637,-7.008,0.542,-0.435,-0.299,-0.381,0.898,-0.702,0.076,0.344,-0.239,-0.436,0.932,1.42,6.718,-0.328,0.133,-0.311,0.811,-0.962,2.748,-0.565,start
1780984743.0567548,-0.816,-0.176,0.573,-0.809,1.687,-0.687,-0.645,-0.322,0.645,-7.298,0.672,-0.55,-0.299,-0.381,0.894,-0.977,1.29,0.137,-0.242,-0.437,0.924,0.809,7.786,-0.511,0.149,-0.302,0.828,-2.122,2.763,-0.702,start
1780984743.1653628,-0.819,-0.174,0.575,-0.176,1.023,0.435,-0.645,-0.317,0.638,-7.092,0.321,-0.366,-0.296,-0.38,0.902,-0.771,0.389,0.26,-0.242,-0.437,0.924,1.504,6.802,-0.527,0.132,-0.315,0.816,-1.733,2.664,-0.695,start
1780984743.2697563,-0.821,-0.175,0.573,-0.992,2.145,-1.328,-0.645,-0.322,0.635,-7.069,0.344,-0.802,-0.294,-0.383,0.895,-0.145,-0.824,-0.397,-0.241,-0.439,0.928,1.626,6.595,-0.763,0.135,-0.32,0.813,-0.893,2.504,0.092,start
