timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780776894.646558,-0.829,-0.203,0.537,-1.641,2.939,-0.344,-0.649,-0.349,0.626,-7.244,1.015,0.061,-0.587,-0.408,0.671,0.0,0.0,0.0,-0.585,-0.515,0.635,0.45,-1.168,-2.855,0.215,-0.427,0.757,0.183,2.771,-0.046,borrar
1780776895.4726958,-0.833,-0.215,0.547,-0.489,-0.595,-2.214,-0.639,-0.345,0.635,-6.267,-0.542,-1.198,-0.608,-0.418,0.664,0.0,0.0,0.0,-0.575,-0.513,0.648,-3.656,0.519,-3.908,0.215,-0.422,0.764,-0.786,1.374,0.198,borrar
1780776896.185858,-0.852,-0.234,0.476,-1.565,2.893,-0.176,-0.714,-0.405,0.495,-6.565,0.359,-0.634,-0.606,-0.596,0.507,0.0,0.0,0.0,0.049,-0.918,-0.426,23.641,-20.145,-2.214,0.256,-0.439,0.744,-12.786,9.511,-14.893,borrar
1780776897.004289,-0.811,-0.227,0.545,-1.817,3.656,-0.832,-0.627,-0.532,0.565,-4.55,0.351,0.931,-0.703,-0.411,0.69,0.0,0.0,0.0,-0.58,-0.513,0.653,-2.191,3.779,-2.397,0.238,-0.427,0.748,-0.641,1.947,-0.389,borrar
1780776900.9755847,-0.82,-0.221,0.547,-0.26,1.214,-0.595,-0.653,-0.35,0.613,-6.962,0.183,-0.42,-0.609,-0.432,0.669,0.0,0.0,0.0,-0.569,-0.523,0.649,-0.756,3.122,-1.763,0.241,-0.431,0.744,-0.603,2.168,-0.168,borrar
1780776901.787168,-0.832,-0.222,0.548,0.443,7.618,-0.496,-0.661,-0.382,0.592,-21.229,24.489,-3.443,-0.614,-0.513,0.564,0.0,0.0,0.0,0.0,-0.862,-0.514,-73.71,16.031,-57.038,0.306,-0.456,0.703,14.87,-4.84,17.679,borrar
1780776902.5639884,-0.853,-0.205,0.492,1.374,-11.74,-3.939,-0.708,-0.417,0.502,1.137,-14.969,-1.42,-0.628,-0.542,0.517,0.0,0.0,0.0,-0.435,-0.818,0.298,157.695,-15.374,82.916,0.275,-0.435,0.746,5.351,2.832,8.466,borrar
1780776903.361207,-0.8,-0.206,0.587,-0.695,3.672,-0.16,-0.632,-0.317,0.655,-7.427,1.282,-0.588,-0.597,-0.373,0.704,0.0,0.0,0.0,-0.593,-0.423,0.699,-1.031,2.695,-2.069,0.23,-0.396,0.776,-0.565,3.038,-0.206,borrar
1780776906.5580506,-0.807,-0.21,0.577,-1.092,1.015,-1.397,-0.639,-0.32,0.641,-6.962,0.336,-0.664,-0.608,-0.375,0.689,0.0,0.0,0.0,-0.585,-0.447,0.693,-1.015,2.908,-2.038,0.229,-0.405,0.762,-0.779,1.947,-0.092,borrar
1780776907.3565724,-0.807,-0.202,0.582,-1.313,0.954,-1.45,-0.637,-0.323,0.641,-6.962,0.389,-0.565,-0.603,-0.378,0.695,0.0,0.0,0.0,-0.587,-0.448,0.691,-0.908,2.771,-1.908,0.229,-0.404,0.77,-0.626,2.137,-0.145,borrar
