timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780979913.6823075,-0.795,-0.168,0.612,-0.649,1.847,-0.427,-0.644,-0.297,0.661,-6.198,1.038,0.618,-0.268,-0.346,0.918,-0.092,0.634,0.229,-0.229,-0.318,0.984,1.832,5.931,-0.794,0.088,-0.307,0.82,-0.481,2.099,0.092,btn_A
1780979913.7781746,-0.801,-0.167,0.605,-1.13,1.557,-0.733,-0.643,-0.296,0.662,-6.29,0.603,0.145,-0.263,-0.35,0.92,-0.412,-0.779,0.397,-0.224,-0.319,0.988,1.534,6.206,-0.931,0.089,-0.306,0.819,-0.595,2.443,0.26,btn_A
1780979913.8772166,-0.797,-0.164,0.61,-0.634,0.908,-1.015,-0.638,-0.3,0.662,-6.42,0.771,-0.076,-0.262,-0.348,0.92,-0.298,0.794,0.298,-0.222,-0.32,0.987,1.511,7.58,-0.588,0.084,-0.306,0.815,-0.695,2.214,-0.092,btn_A
1780979913.9797406,-0.799,-0.168,0.606,-1.031,1.038,-1.344,-0.642,-0.299,0.66,-6.267,0.45,-0.29,-0.262,-0.344,0.923,-0.573,-0.725,-0.153,-0.223,-0.314,0.991,1.718,7.305,-0.244,0.087,-0.307,0.822,-0.649,2.771,0.038,btn_A
1780979914.0828516,-0.798,-0.165,0.607,-0.664,2.008,-0.473,-0.637,-0.292,0.66,-6.336,1.099,0.557,-0.264,-0.346,0.927,-0.229,-0.382,0.214,-0.229,-0.318,0.995,0.931,4.718,-0.489,0.08,-0.306,0.813,-0.229,4.107,0.634,btn_A
1780979914.1968465,-0.782,-0.178,0.622,1.489,12.046,2.84,-0.658,-0.298,0.641,-7.588,6.641,1.076,-0.319,-0.333,0.901,1.397,10.389,3.092,-0.401,-0.281,1.413,54.733,19.252,9.435,0.087,-0.294,0.831,-6.893,9.031,-1.794,btn_A
1780979914.296108,-0.805,-0.162,0.604,-1.374,5.229,0.817,-0.678,-0.277,0.642,-4.031,23.168,1.084,-0.321,-0.351,0.897,2.313,14.748,3.748,-0.184,0.014,0.973,78.916,-17.527,-0.504,0.065,-0.29,0.822,7.87,2.458,2.244,btn_A
1780979914.392473,-0.818,-0.143,0.583,-1.229,5.511,1.847,-0.677,-0.306,0.625,-5.496,12.626,3.679,-0.354,-0.334,0.884,-0.542,9.672,4.382,-0.205,0.123,0.979,49.458,1.305,-1.275,0.066,-0.283,0.829,-2.74,2.786,0.58,btn_A
1780979914.4951534,-0.811,-0.159,0.592,-0.573,0.084,-1.176,-0.695,-0.287,0.603,-6.115,2.153,-0.038,-0.354,-0.331,0.881,-0.16,1.496,0.084,-0.183,0.164,1.081,5.107,8.252,-0.26,0.05,-0.274,0.823,0.015,2.176,0.023,btn_A
1780979914.6145852,-0.81,-0.153,0.596,-1.252,1.649,-0.878,-0.704,-0.281,0.582,-6.618,-0.954,-0.267,-0.375,-0.338,0.878,-2.038,-2.58,-0.84,-0.205,0.173,1.031,-1.26,7.023,2.672,0.053,-0.291,0.833,-2.122,2.519,-0.191,btn_A
1780979914.7075405,-0.809,-0.161,0.595,-0.611,1.74,0.26,-0.708,-0.289,0.581,-7.198,2.435,0.206,-0.365,-0.332,0.876,-0.832,-0.595,-0.099,-0.214,0.193,0.999,-3.183,6.924,1.0,0.051,-0.278,0.831,-0.924,1.176,0.0,btn_A
1780979914.8103936,-0.811,-0.155,0.596,-0.924,1.931,-0.229,-0.699,-0.291,0.587,-6.176,2.466,0.389,-0.359,-0.34,0.897,-0.695,3.748,1.458,-0.206,0.185,0.979,5.359,8.87,-4.084,0.062,-0.282,0.825,-0.588,1.763,0.061,btn_A
1780979914.907393,-0.814,-0.156,0.583,-0.878,2.511,-0.359,-0.697,-0.289,0.601,-6.511,-0.878,-0.649,-0.365,-0.349,0.899,-0.511,-1.916,0.153,-0.185,0.176,1.038,5.229,5.198,-0.641,0.057,-0.293,0.844,-0.099,0.756,0.16,btn_A
1780979915.0101578,-0.811,-0.154,0.599,-0.908,0.084,-1.641,-0.692,-0.29,0.603,-5.885,5.214,0.282,-0.365,-0.339,0.876,0.679,4.565,1.74,-0.218,0.189,1.035,4.405,10.771,0.282,0.057,-0.281,0.82,0.595,3.115,0.87,btn_A
1780979915.122867,-0.808,-0.153,0.596,-1.336,1.0,-1.046,-0.699,-0.291,0.595,-7.603,5.489,0.359,-0.373,-0.336,0.887,-1.756,3.481,1.153,-0.198,0.175,1.007,0.046,9.496,-3.397,0.055,-0.284,0.819,-2.389,2.634,-1.0,btn_A
1780979915.226052,-0.808,-0.157,0.593,-1.191,0.176,-1.092,-0.699,-0.287,0.599,-7.817,-8.481,-2.221,-0.351,-0.342,0.885,-4.901,-13.977,-3.58,-0.198,0.142,0.863,-38.031,0.313,2.275,0.06,-0.3,0.834,-0.405,-2.847,-0.137,btn_A
1780979915.326524,-0.808,-0.156,0.595,-1.405,-0.176,-2.595,-0.665,-0.312,0.644,-5.565,-6.29,-0.305,-0.342,-0.282,0.879,1.122,-19.947,-0.817,-0.144,0.054,0.636,-120.168,34.16,-15.74,0.044,-0.291,0.827,-9.061,-5.137,-3.641,btn_A
1780979915.4224856,-0.797,-0.167,0.607,-0.359,0.939,-1.053,-0.639,-0.299,0.655,-5.962,3.924,0.527,-0.286,-0.352,0.903,0.84,5.908,1.756,-0.208,-0.082,0.891,-18.588,13.947,-10.092,0.077,-0.295,0.814,-0.878,0.16,-1.313,btn_A
1780979915.5249074,-0.794,-0.17,0.618,-2.053,-1.656,-1.573,-0.649,-0.294,0.646,-6.183,-7.496,-1.802,-0.278,-0.351,0.916,-0.481,-16.511,-3.092,-0.348,-0.396,1.483,-49.229,4.733,-13.412,0.087,-0.314,0.842,-4.122,2.397,-0.412,btn_A
1780979915.6423151,-0.802,-0.172,0.601,-0.282,3.061,-0.336,-0.644,-0.3,0.661,-6.427,1.954,0.084,-0.261,-0.352,0.923,3.313,2.695,0.405,-0.219,-0.286,1.0,0.107,8.473,-0.099,0.09,-0.303,0.813,0.71,-0.298,-0.534,btn_A
1780979915.742285,-0.8,-0.167,0.601,-0.992,1.748,-1.015,-0.646,-0.298,0.65,-6.122,0.45,0.122,-0.267,-0.352,0.924,0.099,-1.153,-0.389,-0.21,-0.295,0.993,0.573,5.366,-0.168,0.082,-0.312,0.827,-0.885,2.092,-0.534,btn_A
1780979915.8453474,-0.804,-0.17,0.603,-0.695,1.947,-0.595,-0.644,-0.297,0.656,-6.618,0.733,-0.412,-0.265,-0.352,0.924,-0.122,-0.122,-0.252,-0.221,-0.296,1.0,0.71,5.718,-0.794,0.082,-0.309,0.824,0.183,0.458,0.687,btn_A
1780979915.9374526,-0.803,-0.167,0.609,-1.191,1.924,-0.817,-0.644,-0.3,0.654,-6.748,0.901,0.092,-0.258,-0.35,0.927,-0.305,0.275,-0.229,-0.214,-0.298,0.994,0.916,7.237,-0.275,0.075,-0.311,0.834,-0.382,2.603,-0.321,btn_A
1780979916.040361,-0.801,-0.165,0.607,-1.061,1.046,-1.115,-0.644,-0.299,0.659,-6.504,0.855,-0.26,-0.265,-0.352,0.928,0.137,0.053,-0.359,-0.203,-0.301,0.993,0.855,6.267,-0.611,0.076,-0.303,0.825,0.046,1.687,0.0,btn_A
1780979916.1435597,-0.801,-0.16,0.609,-0.771,0.557,-0.489,-0.643,-0.298,0.654,-6.359,0.611,-0.511,-0.265,-0.35,0.921,-0.336,0.206,-0.191,-0.209,-0.299,0.99,1.084,7.733,-0.45,0.082,-0.31,0.818,-1.473,3.267,-0.13,btn_A
1780979916.2576022,-0.798,-0.168,0.606,-0.679,2.298,-0.023,-0.648,-0.302,0.653,-6.885,0.771,-0.527,-0.262,-0.354,0.926,-0.649,0.252,-0.351,-0.213,-0.299,0.991,1.153,6.687,-0.893,0.081,-0.306,0.819,-0.802,2.267,-0.069,btn_A
