timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780980600.7171443,-0.777,-0.191,0.633,-0.977,0.748,-1.29,-0.636,-0.299,0.66,-6.489,0.756,-0.534,-0.307,-0.344,0.911,-0.412,-0.679,0.466,-0.285,-0.319,0.971,1.939,7.053,-0.626,0.021,-0.278,0.832,-0.473,2.718,0.153,btn_B
1780980600.8231068,-0.776,-0.197,0.627,-0.725,1.611,-0.053,-0.634,-0.302,0.663,-6.427,1.053,-0.55,-0.307,-0.346,0.917,-0.809,0.267,0.298,-0.277,-0.318,0.964,1.45,6.847,-0.664,0.025,-0.279,0.825,-0.511,1.863,0.023,btn_B
1780980600.9327364,-0.777,-0.192,0.632,-0.695,1.565,-1.099,-0.635,-0.3,0.667,-6.641,0.542,-0.611,-0.304,-0.345,0.91,-0.634,0.099,-0.107,-0.279,-0.319,0.974,1.611,6.794,-0.611,0.024,-0.279,0.843,-0.412,2.359,-0.115,btn_B
1780980601.0349493,-0.776,-0.191,0.632,-1.221,1.855,-0.321,-0.638,-0.302,0.663,-6.55,1.153,0.053,-0.307,-0.34,0.91,-0.809,-0.344,0.45,-0.28,-0.314,0.964,1.481,6.84,-0.305,0.028,-0.276,0.833,-1.099,0.29,0.237,btn_B
1780980601.129154,-0.78,-0.193,0.631,-0.656,1.282,-1.031,-0.637,-0.299,0.67,-6.244,1.122,-0.198,-0.284,-0.34,0.905,0.015,0.153,0.786,-0.287,-0.321,0.968,2.16,7.786,-1.16,0.027,-0.274,0.829,-0.458,2.542,0.061,btn_B
1780980601.2473047,-0.78,-0.197,0.626,-0.725,1.061,-0.015,-0.636,-0.298,0.661,-6.519,0.481,-1.015,-0.305,-0.346,0.911,-0.382,0.244,0.321,-0.272,-0.315,0.968,1.412,6.595,-0.649,0.024,-0.28,0.837,-0.565,2.145,-0.008,btn_B
1780980601.3459268,-0.776,-0.196,0.625,-1.092,1.382,-1.443,-0.637,-0.296,0.657,-6.321,0.58,-0.527,-0.31,-0.35,0.908,-0.336,-0.237,0.046,-0.28,-0.316,0.963,1.779,6.603,-0.771,0.021,-0.281,0.836,-0.603,1.954,-0.282,btn_B
1780980601.4455185,-0.78,-0.196,0.633,-0.763,0.916,-0.679,-0.636,-0.302,0.66,-6.229,0.282,-0.481,-0.303,-0.347,0.911,1.145,1.183,1.038,-0.558,-0.209,1.569,-10.214,-7.832,-1.229,0.024,-0.293,0.843,-2.595,0.282,-0.229,btn_B
1780980601.5471382,-0.782,-0.189,0.623,-3.038,1.0,-3.427,-0.666,-0.312,0.591,-4.656,4.802,-2.282,-0.115,-0.226,0.791,46.649,10.435,10.618,-0.264,-0.321,1.011,9.992,14.847,-2.061,0.022,-0.287,0.83,1.412,2.015,-1.397,btn_B
1780980601.6441455,-0.777,-0.195,0.63,-0.557,3.344,0.359,-0.635,-0.309,0.67,-8.756,11.641,-0.023,-0.353,-0.187,0.861,66.115,15.649,9.878,-0.272,-0.296,0.965,10.45,10.84,-2.74,0.03,-0.27,0.832,3.786,2.817,-0.359,btn_B
