timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780981710.5112476,-0.788,-0.192,0.613,-0.718,1.282,-0.092,-0.675,-0.315,0.608,-6.389,0.656,-0.74,-0.301,-0.392,0.889,-0.305,0.069,-0.412,-0.264,-0.409,0.933,1.382,6.687,-0.107,0.125,-0.355,0.803,-0.603,1.786,0.176,btn_C
1780981710.6012359,-0.792,-0.194,0.61,-1.313,1.076,-1.519,-0.674,-0.322,0.604,-6.641,0.298,-0.679,-0.302,-0.394,0.899,-0.26,-0.153,0.092,-0.264,-0.404,0.937,1.832,7.26,-0.145,0.118,-0.353,0.801,-0.344,2.809,-0.206,btn_C
1780981710.7042975,-0.794,-0.196,0.615,-1.0,2.16,-0.916,-0.674,-0.321,0.603,-6.74,0.618,-1.145,-0.297,-0.392,0.891,-0.244,0.237,-0.023,-0.268,-0.409,0.939,1.595,6.725,-0.634,0.121,-0.347,0.795,-0.519,2.786,-0.237,btn_C
1780981710.8089201,-0.789,-0.192,0.615,-0.832,2.0,-0.893,-0.675,-0.323,0.604,-6.802,0.679,-0.87,-0.308,-0.393,0.888,0.0,0.076,-0.359,-0.27,-0.407,0.932,1.939,6.855,-0.359,0.114,-0.351,0.804,-0.115,3.008,-0.359,btn_C
1780981710.910163,-0.794,-0.199,0.609,-0.786,1.115,-0.725,-0.671,-0.324,0.615,-5.954,0.557,-0.878,-0.303,-0.388,0.893,0.626,-0.374,-0.076,-0.27,-0.407,0.935,1.244,6.656,-0.214,0.13,-0.351,0.809,-0.702,1.939,0.137,btn_C
1780981711.0290065,-0.787,-0.195,0.618,-0.931,3.382,2.321,-0.68,-0.323,0.629,-2.267,4.099,3.878,-0.301,-0.394,0.887,1.031,2.29,1.45,-0.268,-0.406,0.929,2.557,9.733,0.649,0.111,-0.355,0.806,-0.695,8.802,-1.489,btn_C
1780981711.1266866,-0.725,-0.196,0.612,10.855,-20.023,11.794,-0.688,-0.334,0.747,19.389,-10.855,25.908,-0.315,-0.379,0.896,3.176,-9.031,-0.45,-0.25,-0.411,0.934,-3.542,-8.916,-0.824,0.115,-0.351,0.807,-2.718,-2.305,-1.931,btn_C
1780981711.2262433,-0.795,-0.156,0.65,10.267,-10.252,16.328,-0.677,-0.236,0.664,16.641,-0.962,14.763,-0.288,-0.381,0.914,0.336,-5.038,0.069,-0.271,-0.402,0.931,4.198,6.275,-0.611,0.116,-0.352,0.799,-2.809,-2.389,-1.718,btn_C
1780981711.3227227,-0.758,-0.094,0.598,18.802,-11.099,17.664,-0.621,-0.135,0.528,12.481,-12.366,11.244,-0.276,-0.356,0.867,4.13,-6.168,-2.099,-0.237,-0.396,0.935,3.16,-3.947,-0.557,0.146,-0.362,0.8,1.023,-0.244,-1.069,btn_C
1780981711.4249332,-0.737,-0.094,0.62,-3.145,-1.405,-1.656,-0.646,-0.177,0.67,-10.015,1.16,-1.214,-0.27,-0.378,0.924,-2.435,2.122,0.267,-0.264,-0.4,0.945,0.794,9.802,-0.328,0.125,-0.357,0.801,-1.16,2.351,-0.328,btn_C
1780981711.5431168,-0.787,-0.112,0.663,-3.908,5.221,-6.13,-0.662,-0.205,0.666,-12.664,7.031,-5.573,-0.292,-0.377,0.9,-1.969,3.092,-0.992,-0.258,-0.397,0.943,1.229,9.45,-1.076,0.138,-0.354,0.802,0.122,4.511,0.87,btn_C
