timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780981169.2051084,-0.786,-0.135,0.64,-0.496,1.244,-0.71,-0.643,-0.266,0.675,-6.252,0.664,-0.481,-0.269,-0.306,0.934,-0.374,-0.588,0.366,-0.239,-0.329,0.978,1.863,6.809,-0.237,0.092,-0.328,0.809,0.122,3.153,-0.244,btn_D
1780981169.3078425,-0.785,-0.13,0.638,-0.992,1.328,-0.672,-0.643,-0.27,0.674,-6.389,0.481,-0.626,-0.264,-0.312,0.935,-0.71,0.298,0.588,-0.24,-0.329,0.977,1.58,8.046,0.481,0.082,-0.324,0.811,0.252,2.122,0.397,btn_D
1780981169.420442,-0.791,-0.136,0.636,-1.458,2.313,-0.878,-0.646,-0.269,0.664,-6.763,1.015,-0.053,-0.27,-0.307,0.94,-0.405,0.214,0.145,-0.235,-0.324,0.981,1.076,6.183,-0.664,0.096,-0.325,0.816,-0.962,0.641,0.115,btn_D
1780981169.5214207,-0.783,-0.141,0.637,-0.664,1.008,-0.824,-0.645,-0.265,0.663,-6.756,0.496,-0.214,-0.263,-0.313,0.937,-0.191,-0.275,0.298,-0.238,-0.327,0.973,1.863,7.008,-0.565,0.088,-0.319,0.812,-0.328,2.565,-0.145,btn_D
1780981169.616434,-0.782,-0.132,0.638,-0.832,0.893,-0.656,-0.644,-0.268,0.665,-6.389,0.611,-0.153,-0.264,-0.312,0.946,-0.214,0.023,0.031,-0.238,-0.33,0.98,2.0,6.305,-1.122,0.093,-0.323,0.812,-0.634,2.008,-0.237,btn_D
1780981169.71966,-0.99,-0.142,0.893,-45.992,-3.069,-1.313,-0.887,-0.146,0.795,-12.099,-15.092,-9.954,-0.286,-0.322,0.937,3.947,5.061,-1.611,-0.294,-0.344,0.95,1.626,-14.122,-7.183,0.099,-0.33,0.806,-30.809,-23.779,-9.802,btn_D
1780981169.8345592,-0.526,0.121,0.539,23.008,-13.038,19.634,-0.579,-0.287,0.705,-11.84,0.473,-6.672,-0.232,-0.315,0.931,-1.267,5.458,-0.557,-0.192,-0.332,0.984,2.008,11.267,0.87,0.133,-0.335,0.801,-3.74,5.153,-0.443,btn_D
1780981169.9383924,-0.666,0.08,0.707,8.198,-4.977,9.924,-0.555,-0.271,0.65,-4.344,4.031,-1.206,-0.203,-0.316,0.943,0.221,-4.015,0.206,-0.174,-0.331,0.994,1.282,7.458,0.42,0.137,-0.341,0.797,6.481,5.748,1.603,btn_D
1780981170.0341532,-0.621,0.079,0.664,3.924,-3.718,3.366,-0.569,-0.283,0.691,-6.008,-0.725,0.092,-0.232,-0.321,0.944,-1.389,1.763,0.878,-0.2,-0.324,0.984,2.198,8.947,0.0,0.129,-0.349,0.806,2.282,11.267,-0.076,btn_D
1780981170.1320386,-0.682,0.075,0.678,2.656,-2.55,-0.863,-0.579,-0.289,0.695,-6.58,-0.229,-1.008,-0.226,-0.32,0.947,-1.672,1.366,0.244,-0.201,-0.329,0.986,1.198,9.527,0.244,0.128,-0.347,0.804,0.992,8.0,-0.023,btn_D
1780981170.2342885,-0.66,0.105,0.619,4.336,-3.534,-3.176,-0.573,-0.282,0.692,-5.458,0.824,-1.779,-0.228,-0.318,0.938,-1.786,0.389,0.282,-0.194,-0.326,0.991,1.885,8.405,0.656,0.137,-0.353,0.8,2.634,9.473,0.031,btn_D
1780981170.3506925,-0.598,0.054,0.698,2.573,4.0,-17.344,-0.579,-0.278,0.681,-13.229,4.908,0.153,-0.226,-0.313,0.936,-2.985,1.046,1.076,-0.195,-0.328,0.987,2.84,14.237,0.244,0.124,-0.353,0.81,8.29,13.878,1.397,btn_D
1780981170.4408367,-1.746,-1.769,2.0,22.0,8.374,94.74,-0.671,-0.295,0.603,-2.679,-4.786,1.962,-0.233,-0.332,0.932,-3.229,-3.473,-4.595,-0.192,-0.321,1.0,1.443,-5.351,-3.229,0.107,-0.363,0.87,7.031,-15.069,2.435,btn_D
