timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780983419.4363992,-0.823,-0.139,0.587,-1.687,0.29,-2.275,-0.659,-0.292,0.651,-7.42,-0.71,-1.748,-0.316,-0.363,0.897,-0.87,1.702,-0.885,-0.247,-0.422,0.927,0.832,8.069,-0.252,0.061,-0.345,0.821,-0.458,3.58,0.611,derecha
1780983419.539151,-0.824,-0.146,0.578,-0.679,1.847,-0.13,-0.656,-0.299,0.631,-6.74,1.008,-0.191,-0.331,-0.365,0.893,-0.092,-0.649,0.595,-0.256,-0.418,0.927,2.176,6.504,-0.878,0.06,-0.333,0.813,-1.779,-0.328,-0.924,derecha
1780983419.6502037,-0.821,-0.15,0.577,-1.206,2.137,-0.626,-0.661,-0.3,0.639,-6.901,0.969,0.16,-0.325,-0.367,0.901,-0.473,0.267,0.779,-0.253,-0.416,0.932,1.489,7.237,-0.015,0.064,-0.335,0.813,-0.504,2.74,-0.466,derecha
1780983419.7534347,-0.814,-0.138,0.58,-0.641,2.435,-0.328,-0.66,-0.296,0.635,-7.252,0.962,-0.351,-0.322,-0.363,0.899,-0.313,0.71,0.252,-0.255,-0.42,0.93,1.557,8.748,0.779,0.062,-0.341,0.817,0.252,3.466,-0.214,derecha
1780983419.863722,-0.824,-0.146,0.579,-0.947,2.023,-0.031,-0.664,-0.296,0.64,-6.817,0.649,-0.695,-0.322,-0.364,0.904,-0.153,-1.45,-0.26,-0.256,-0.416,0.934,1.252,8.275,-0.313,0.068,-0.337,0.817,-0.519,1.641,-0.26,derecha
1780983419.9648736,-0.829,-0.146,0.573,0.191,1.305,0.45,-0.669,-0.301,0.63,-7.13,0.153,-1.786,-0.323,-0.365,0.896,-0.45,-3.649,1.015,-0.234,-0.441,0.935,3.985,8.344,-0.481,0.059,-0.379,0.796,3.664,6.0,-4.153,derecha
1780983420.054247,-0.822,-0.121,0.581,-1.702,-3.687,-3.481,-0.667,-0.285,0.643,-5.664,-1.756,-2.122,-0.303,-0.358,0.903,2.992,-0.214,-1.137,-0.266,-0.4,0.934,4.718,5.115,-2.206,0.072,-0.348,0.809,-0.71,3.466,-0.328,derecha
1780983420.1566265,-0.819,-0.15,0.585,1.405,-11.855,-5.252,-0.59,-0.318,0.704,-2.305,7.359,-0.718,-0.368,-0.747,1.779,101.893,45.061,35.618,-0.378,-0.703,1.563,172.008,28.336,45.481,0.051,-0.35,0.819,14.588,6.099,-5.588,derecha
1780983420.2699194,-0.84,-0.131,0.567,8.962,9.366,2.588,-0.741,-0.29,0.507,-13.771,59.336,-4.427,-0.396,-0.05,0.708,66.26,32.947,31.786,-0.19,0.0,0.823,85.496,16.282,32.389,0.096,-0.328,0.812,-2.939,-5.046,-11.466,derecha
1780983420.3710148,-0.835,-0.127,0.557,1.74,9.031,-1.29,-0.724,-0.301,0.473,-8.473,12.573,-1.107,-0.435,0.018,0.779,0.046,2.023,1.069,-0.343,0.047,0.967,6.977,8.023,-1.756,0.075,-0.318,0.828,-5.817,1.58,-2.45,derecha
1780983420.4698625,-0.828,-0.141,0.553,-3.519,3.87,-1.29,-0.781,-0.309,0.435,-10.542,5.458,1.069,-0.501,-0.02,0.857,-5.366,-0.611,-0.107,-0.329,0.066,0.859,-0.489,6.611,-1.29,0.119,-0.339,0.795,-3.13,5.267,-3.359,derecha
1780983420.570338,-0.83,-0.15,0.558,-3.817,0.015,-1.855,-0.755,-0.316,0.483,-9.389,-9.435,-1.008,-0.47,-0.085,0.868,-22.489,-8.802,-9.336,-0.341,-0.007,0.902,-28.13,0.924,-9.183,0.089,-0.339,0.801,-1.405,4.511,0.855,derecha
1780983420.6721077,-0.829,-0.141,0.559,-5.435,-6.878,-4.588,-0.731,-0.312,0.514,-5.313,-46.412,-0.725,-0.365,-0.127,0.658,-87.725,-32.069,-31.855,-0.269,-0.09,0.725,-121.908,1.916,-31.221,0.084,-0.34,0.798,-8.985,-3.893,1.71,derecha
1780983420.7869277,-0.823,-0.152,0.618,-0.053,-11.473,-0.931,-0.715,-0.303,0.535,-7.74,8.931,0.359,-0.241,-0.336,0.914,-17.985,-54.779,-5.534,0.049,-0.364,1.03,6.29,20.603,5.389,0.133,-0.373,0.771,-2.298,0.076,-0.473,derecha
1780983420.885238,-0.814,-0.146,0.578,0.076,2.099,-0.328,-0.666,-0.314,0.623,-7.733,0.481,-0.359,-0.327,-0.376,0.891,-2.26,1.237,1.0,-0.265,-0.418,0.934,-0.527,7.878,-0.748,0.097,-0.359,0.794,-0.336,3.092,-0.305,derecha
1780983420.9805195,-0.813,-0.151,0.572,0.031,1.649,0.595,-0.671,-0.313,0.625,-6.603,0.26,-0.015,-0.313,-0.373,0.894,-0.267,-1.191,1.115,-0.254,-0.424,0.933,0.725,8.137,0.435,0.112,-0.369,0.801,1.435,6.298,-0.458,derecha
1780983421.0859883,-0.829,-0.14,0.578,-1.298,3.511,2.374,-0.664,-0.311,0.625,-7.618,2.55,1.191,-0.344,-0.361,0.931,-4.389,-0.939,1.038,-0.257,-0.396,0.91,-6.664,6.511,-0.008,0.108,-0.362,0.806,3.504,7.847,0.412,derecha
1780983421.1913803,-0.824,-0.141,0.575,-0.847,0.313,-0.191,-0.674,-0.31,0.612,-5.962,-1.962,-0.473,-0.329,-0.375,0.89,-0.435,-0.191,0.282,-0.259,-0.43,0.932,1.473,7.191,0.015,0.092,-0.369,0.801,-0.313,4.756,0.252,derecha
1780983421.2938628,-0.825,-0.138,0.572,-1.397,1.198,-1.733,-0.675,-0.307,0.617,-7.221,0.168,-0.725,-0.33,-0.371,0.886,-0.84,0.878,-0.298,-0.269,-0.425,0.926,0.832,8.008,-0.55,0.095,-0.365,0.81,-0.443,2.237,-0.092,derecha
