timestamp,pulgar_ax,pulgar_ay,pulgar_az,pulgar_gx,pulgar_gy,pulgar_gz,indice_ax,indice_ay,indice_az,indice_gx,indice_gy,indice_gz,medio_ax,medio_ay,medio_az,medio_gx,medio_gy,medio_gz,anular_ax,anular_ay,anular_az,anular_gx,anular_gy,anular_gz,menique_ax,menique_ay,menique_az,menique_gx,menique_gy,menique_gz,gesto
1780778287.0188272,-0.82,-0.249,0.538,-0.153,0.863,-0.947,-0.66,-0.377,0.583,-6.168,0.282,-0.504,-0.57,-0.385,0.721,0.0,0.0,0.0,-0.582,-0.454,0.69,-0.824,2.344,-2.397,0.206,-0.434,0.759,-0.786,2.977,0.305,espacio
1780778288.6103013,-0.853,-0.227,0.489,-0.748,2.687,-0.817,-0.673,-0.374,0.58,-7.191,-0.214,-1.496,-0.598,-0.386,0.701,0.0,0.0,0.0,-0.639,-0.461,0.629,-0.832,2.053,-1.626,0.015,-0.343,0.821,-0.901,0.122,0.13,espacio
1780778292.6685452,-0.852,-0.229,0.485,-0.458,1.527,-0.718,-0.679,-0.385,0.569,-6.634,0.344,-0.565,-0.594,-0.382,0.7,0.0,0.0,0.0,-0.632,-0.475,0.628,-1.092,2.458,-1.794,0.038,-0.343,0.81,-1.053,2.672,-0.137,espacio
1780778293.7893147,-0.853,-0.227,0.492,-0.756,0.626,-0.817,-0.671,-0.382,0.573,-7.038,0.153,-0.389,-0.599,-0.384,0.686,0.0,0.0,0.0,-0.635,-0.472,0.621,-0.824,3.366,-2.069,0.042,-0.33,0.812,0.389,1.443,2.153,espacio
1780778294.2029674,-0.882,-0.286,0.379,-0.122,3.985,-1.008,-0.723,-0.445,0.439,-6.71,0.137,-1.229,-0.637,-0.498,0.574,0.0,0.0,0.0,-0.701,-0.554,0.442,0.137,0.969,-1.427,0.334,-0.427,0.724,-1.0,1.802,-0.908,espacio
1780778295.0040224,-0.877,-0.293,0.375,2.26,0.466,0.687,-0.717,-0.453,0.442,-0.534,-3.695,2.626,-0.651,-0.494,0.523,0.0,0.0,0.0,-0.687,-0.555,0.496,32.542,-18.153,8.634,0.049,-0.542,0.819,33.359,59.748,51.71,espacio
1780778298.9972093,-0.862,-0.228,0.461,-1.595,2.252,-1.107,-0.661,-0.38,0.591,-7.481,0.313,-0.13,-0.588,-0.373,0.715,0.0,0.0,0.0,-0.664,-0.433,0.618,-1.351,3.359,-1.427,-0.015,-0.339,0.804,-0.046,2.534,0.557,espacio
1780778299.8138363,-0.866,-0.231,0.458,-0.863,1.794,-0.229,-0.664,-0.377,0.582,-6.573,0.405,-0.458,-0.588,-0.375,0.718,0.0,0.0,0.0,-0.669,-0.445,0.604,-0.282,4.977,-1.145,0.029,-0.344,0.852,7.198,-3.046,22.16,espacio
1780778300.7360682,-0.905,-0.244,0.34,-0.427,2.725,-0.435,-0.751,-0.428,0.408,-5.931,-0.267,-0.832,-0.664,-0.486,0.536,0.0,0.0,0.0,-0.725,-0.581,0.345,1.183,2.718,-1.733,0.325,-0.402,0.741,-1.527,3.344,1.237,espacio
1780778301.5557222,-0.906,-0.248,0.333,1.718,4.298,0.618,-0.752,-0.428,0.396,-0.153,-2.832,-1.626,-0.693,-0.456,0.491,0.0,0.0,0.0,-0.707,-0.552,0.574,38.443,-12.061,-3.183,0.093,-0.438,0.819,-7.092,56.534,9.901,espacio
